ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2016-09-30,CCP,ICEU,Percentage_GBP,15.93%,7.64%
2016-09-30,CCP,ICEU,Percentage_EUR,15.32%,18.52%
2016-09-30,CCP,ICEU,Percentage_USD,34.37%,8.22%
