ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2016-09-30,DefaultFund,ICEU_CDS,PeakDayAmountInPast12Months,EUR,128498303.01,1305217.00,160782997.00,1305217.00
2016-09-30,DefaultFund,ICEU_CDS,MeanAverageOverPrevious12Months,EUR,51672649.14,1305217.00,70209452.00,1305217.00
