ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
30/09/2016,CCP,LMEC_1,PeakDayAmountInPast12Months,USD,201086609.00,10106.00,336308622.00,0
30/09/2016,CCP,LMEC_1,MeanAverageOverPrevious12Months,USD,54005444.31,10106.00,87501204.00,0
