ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2016-09-30,DefaultFund,ICEU_F&O,HouseIM_PreHaircut,USD,,0.00,2003244144.17,4272897.42,347368039.77,5350973653.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7705858735.01
2016-09-30,DefaultFund,ICEU_F&O,HouseIM_PostHaircut,USD,,0.00,1924909316.65,4120620.46,314390898.70,5152931719.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7396352555.59
2016-09-30,DefaultFund,ICEU_F&O,ClientIM_PreHaircut,USD,,0.00,19656141047.06,32695733.01,1502700972.81,15260000290.65,1022481.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36452560525.06
2016-09-30,DefaultFund,ICEU_F&O,ClientIM_PostHaircut,USD,,0.00,18934204229.99,30955911.72,1365146420.52,14610554490.63,940683.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34941801735.87
2016-09-30,DefaultFund,ICEU_F&O,TotalIM_PreHaircut,USD,,0.00,21659385191.23,36968630.43,1850069012.58,20610973944.30,1022481.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-09-30,DefaultFund,ICEU_F&O,TotalIM_PostHaircut,USD,,0.00,20859113546.64,35076532.18,1679537319.22,19763486210.41,940683.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
