ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15
30/09/2016,CCP,LMEC_1,HouseIM_PreHaircut,USD,0,0,1830460101,8237186.47,1254256176,0,0,0,0,0,174300720,0,0,0,1916616319
30/09/2016,CCP,LMEC_1,HouseIM_PostHaircut,USD,0,0,1893244883,8237186.47,1173443231,0,0,0,0,0,157044948.7,0,0,0,1916616319
30/09/2016,CCP,LMEC_1,ClientIM_PreHaircut,USD,0,0,5669776356,25514354.3,576458661,0,0,0,0,0,0,0,0,0,5936641766
30/09/2016,CCP,LMEC_1,ClientIM_PostHaircut,USD,0,0,5864249685,25514354.3,548067792.4,0,0,0,0,0,0,0,0,0,5936641766
30/09/2016,CCP,LMEC_1,TotalIM_PreHaircut,USD,0,0,7500236457,33751540.73,1830714836,0,0,0,0,0,174300720,0,0,0,
30/09/2016,CCP,LMEC_1,TotalIM_PostHaircut,USD,0,0,7757743292,33751540.73,1721511024,0,0,0,0,0,157044948.7,0,0,0,
