ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7_1_2,7_1_3,7_1_4,7_1_5,7_1_6,7_1_7,7_1_8,7_1_9
2016-09-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,9072315257.93,14365847.77,1000000000.00,0.00,4051176481.73,0.00
2016-09-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,4451329671.60,26048872.74,1000000000.00,0.00,2147116759.57,0.00
2016-09-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,3743518762.46,2020290.79,1000000000.00,0.00,5259497013.62,0.00


