ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2017-06-30,CCP,ICEU,Percentage_EUR,17.54%,8.00%
2017-06-30,CCP,ICEU,Percentage_GBP,22.86%,10.11%
2017-06-30,CCP,ICEU,Percentage_USD,29.84%,11.65%
