ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_3_6,4_3_7,4_3_8,4_3_9,4_3_10,4_3_11,4_3_12,4_3_13,4_3_14,4_3_15
2017-06-30,DefaultFund,ICEU_F&O,PreHaircut,USD,,0.00,1829157845.03,1347873.66,0.00,278784146.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2109289865.59
2017-06-30,DefaultFund,ICEU_F&O,PostHaircut,USD,,0.00,1829157845.03,1347873.66,0.00,267928830.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2098434549.60
2017-06-30,DefaultFund,ICEU_CDS,PreHaircut,EUR,,0.00,822374220.40,416327.21,0.00,33715721.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,856506268.68
2017-06-30,DefaultFund,ICEU_CDS,PostHaircut,EUR,,0.00,810492606.20,407571.86,0.00,32682304.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,843582482.58


