ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2017-06-30,CCP,LMEC_1,AverageInQuarter,,44.84%,65.76%,,38.92%,60.51%,,,
2017-06-30,CCP,LMEC_1,PeakInQuarter,,45.32%,66.07%,,40.12%,62.54%,,,
