ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
2017-06-30,CCP,LMEC_1,Percentage_USD,78.92%,4.64%
2017-06-30,CCP,LMEC_1,Percentage_EUR,5.99%,0.00%
2017-06-30,CCP,LMEC_1,Percentage_GBP,14.73%,0.00%
2017-06-30,CCP,LMEC_1,Percentage_JPY,0.35%,0.00%
2017-06-30,CCP,LMEC_1,Percentage_CNH,0.00%,0.00%
