ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7.3.1,7.3.4,7.3.5
2017-06-30,CCP,LMEC_1,SameDayPayment_Total,USD,936132288.52,838257808.45,936132288.52
2017-06-30,CCP,LMEC_1,IntraDayPayment_Total,USD,,,
2017-06-30,CCP,LMEC_1,MultiDayPayment_Total,USD,1844853102.51,,1844853102.51
2017-06-30,CCP,LMEC_1,SameDayPayment,USD,936132288.52,838257808.45,936132288.52
2017-06-30,CCP,LMEC_1,IntraDayPayment,USD,,,
2017-06-30,CCP,LMEC_1,MultiDayPayment,USD,1844853102.51,,1844853102.51
