ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_3_6,4_3_7,4_3_8,4_3_9,4_3_10,4_3_11,4_3_12,4_3_13,4_3_14,4_3_15
2018-06-29,Default Fund,ICEU_F&O,PreHaircut,USD,0.00,0.00,2508666425.81,157128.36,0.00,374673892.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2883497446.61
2018-06-29,Default Fund,ICEU_F&O,PostHaircut,USD,0.00,0.00,2508666425.81,157128.36,0.00,360856457.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2869680011.31
2018-06-29,Default Fund,ICEU_CDS,PreHaircut,EUR,0.00,0.00,910391258.68,282987.41,0.00,51537845.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,962212091.16
2018-06-29,Default Fund,ICEU_CDS,PostHaircut,EUR,0.00,0.00,899638523.61,282313.92,0.00,49739311.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,949660149.00
