ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_5,4_4_9
2018-06-29,DefaultFund,ICEU_F&O,AmountExceeded,USD,0.00,0.00
2018-06-29,DefaultFund,ICEU_CDS,AmountExceeded,EUR,0.00,0.00
