ReportDate,ReportLevel,ReportLevelIdentifier,Description,7_3_6
2018-06-29,CCP,ICEU,NumberOfDays_USD,0
2018-06-29,CCP,ICEU,NumberOfDays_EUR,0
2018-06-29,CCP,ICEU,NumberOfDays_GBP,0
