ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.3.1,23.3.2
2018-06-30,Default fund,LME,Telephone,USD," 1,160,100 "," 96,573,970,619 "
2018-06-30,Default fund,LME,Select,USD," 378,540 "," 36,337,252,559 "
2018-06-30,Default fund,LME,Basis Ring,USD," 104,975 "," 8,958,852,929 "
2018-06-30,Default fund,LME,Ring,USD," 38,792 "," 3,387,922,151 "
2018-06-30,Default fund,LPM,Telephone,USD," 1,333 "," 154,829,645 "
2018-06-30,Default fund,LPM,Select,USD," 5,460 "," 670,255,321 "
