ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2018-06-29,Default Fund,ICEU_F&O,HouseIM_PreHaircut,USD,0.00,55329162.92,1688826191.90,209627.53,341818820.39,3507871066.07,42617101.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5636671970.35
2018-06-29,Default Fund,ICEU_F&O,HouseIM_PostHaircut,USD,0.00,52839350.59,1622834798.21,201268.23,324790194.41,3397075921.45,41142961.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5438884494.66
2018-06-29,Default Fund,ICEU_F&O,ClientIM_PreHaircut,USD,656651234.71,334857206.06,14721983175.96,16358258.28,1234792093.87,16736498993.17,90433561.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33791574523.75
2018-06-29,Default Fund,ICEU_F&O,ClientIM_PostHaircut,USD,610685648.28,319788631.79,14244209107.63,15342931.36,1166953531.17,16131801695.73,87297066.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32576078612.06
2018-06-29,Default Fund,ICEU_F&O,TotalIM_PreHaircut,USD,656651234.71,390186368.99,16410809367.86,16567885.80,1576610914.25,20244370059.24,133050663.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39428246494.10
2018-06-29,Default Fund,ICEU_F&O,TotalIM_PostHaircut,USD,610685648.28,372627982.38,15867043905.83,15544199.58,1491743725.58,19528877617.18,128440027.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38014963106.72
2018-06-29,Default Fund,ICEU_CDS,HouseIM_PreHaircut,EUR,0.00,252539747.02,2199391706.87,458275.70,274700564.74,2392594564.87,84188768.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5203873627.52
2018-06-29,Default Fund,ICEU_CDS,HouseIM_PostHaircut,EUR,0.00,252539747.02,2140863080.45,455114.09,261389541.70,2310195829.36,81244216.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5046687529.56
2018-06-29,Default Fund,ICEU_CDS,ClientIM_PreHaircut,EUR,1008059.53,99145209.63,966632115.90,1138870.23,87867339.43,397466086.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1553257681.40
2018-06-29,Default Fund,ICEU_CDS,ClientIM_PostHaircut,EUR,952616.25,99145209.63,957543274.29,1137119.82,83249812.74,379490120.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1521518152.97
2018-06-29,Default Fund,ICEU_CDS,TotalIM_PreHaircut,EUR,1008059.53,351684956.65,3166023822.77,1597145.93,362567904.17,2790060651.55,84188768.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6757131308.92
2018-06-29,Default Fund,ICEU_CDS,TotalIM_PostHaircut,EUR,952616.25,351684956.65,3098406354.74,1592233.91,344639354.43,2689685949.60,81244216.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6568205682.53

