ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.5,4.4.9
2018-06-30,Default fund,LME,AmountExceeded,USD,0.00,0.00
2018-06-30,Default fund,LPM,AmountExceeded,USD," 9,348,817.13 "," 15,073,616.63 "
