ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7_1_2,7_1_3,7_1_4,7_1_5,7_1_6,7_1_7,7_1_8,7_1_9
2018-06-29,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,8475252699.02,818046.53,1000000000.00,0.00,4665926970.86,0.00
2018-06-29,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,5008074050.66,12174807.51,1000000000.00,0.00,1029685504.28,0.00
2018-06-29,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,4716826800.03,5924019.57,1000000000.00,0.00,1676361089.16,0.00


