ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15
2015-12-31,DefaultFund,ICEU_F&O,HouseIM_PreHaircut,USD,,0.00,3053867200.00,11550067.00,895019209.30,4907024559.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8867461036.00
2015-12-31,DefaultFund,ICEU_F&O,HouseIM_PostHaircut,USD,,0.00,2965078574.00,11449569.31,826422359.10,4620994416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8423944919.00
2015-12-31,DefaultFund,ICEU_F&O,ClientIM_PreHaircut,USD,,0.00,20166821670.00,41551058.38,1337097558.00,14328857423.00,1090017.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35875417727.00
2015-12-31,DefaultFund,ICEU_F&O,ClientIM_PostHaircut,USD,,0.00,19640418961.00,39948389.26,1237144753.00,13787222436.00,1057316.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34705791856.00
2015-12-31,DefaultFund,ICEU_F&O,TotalIM_PreHaircut,USD,,0.00,23220688870.00,53101125.38,2232116767.00,19235881982.00,1090017.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2015-12-31,DefaultFund,ICEU_F&O,TotalIM_PostHaircut,USD,,0.00,22605497535.00,51397958.57,2063567112.00,18408216853.00,1057316.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00
