ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15
2015-12-31,DefaultFund,ICEU_CDS,HouseIM_PreHaircut,EUR,,0.00,4535090729.00,18537912.28,337548545.30,1086371167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5977548354.00
2015-12-31,DefaultFund,ICEU_CDS,HouseIM_PostHaircut,EUR,,0.00,4426702931.00,17857923.49,307600405.60,1026629726.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5778790986.00
2015-12-31,DefaultFund,ICEU_CDS,ClientIM_PreHaircut,EUR,,0.00,183330462.30,482034.65,80560881.59,88558878.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,352932257.10
2015-12-31,DefaultFund,ICEU_CDS,ClientIM_PostHaircut,EUR,,0.00,176873262.40,464721.94,72517234.51,84207290.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334062509.00
2015-12-31,DefaultFund,ICEU_CDS,TotalIM_PreHaircut,EUR,,0.00,4718421191.00,19019946.93,418109426.90,1174930046.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2015-12-31,DefaultFund,ICEU_CDS,TotalIM_PostHaircut,EUR,,0.00,4603576194.00,18322645.43,380117640.10,1110837016.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
