ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
2015-12-31,DefaultFund,ICEU_F&O,AverageInQuarter,NA,28.67%,50.74%,NA,33.86%,53.89%
2015-12-31,DefaultFund,ICEU_F&O,PeakInQuarter,NA,27.82%,48.90%,NA,37.45%,58.63%
