ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2015-12-31,DefaultFund,ICEU_F&O,PeakDayAmountInPast6Months,USD,1185206043.00,564267.37,1822897038.00,705334.21
2015-12-31,DefaultFund,ICEU_F&O,MeanAverageOverPrevious6Months,USD,1142581296.00,1842596.71,1713430120.00,1842596.71
