ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2015-12-31,DefaultFund,ICEU_CDS,PeakDayAmountInPast6Months,EUR,68809400.91,0.00,89891606.00,0.00
2015-12-31,DefaultFund,ICEU_CDS,MeanAverageOverPrevious6Months,EUR,28280456.50,0.00,39829148.87,0.00
