ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.5,4.4.9
2017-12-31,Default fund,LME,AmountExceeded,USD,0.00,0.00
2017-12-31,Default fund,LPM,AmountExceeded,USD,9348817.13,15073616.63
