ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2017-12-29,DefaultFund,ICEU_F&O,PeakDayAmountInPast12Months,USD,2123999121.92,65466257.00,2400000000.00,65466257.00
2017-12-29,DefaultFund,ICEU_F&O,MeanAverageOverPrevious12Months,USD,1464259493.43,16961417.17,1656872828.83,16961417.17
2017-12-29,DefaultFund,ICEU_CDS,PeakDayAmountInPast12Months,EUR,122306464.61,0.00,132223397.00,0.00
2017-12-29,DefaultFund,ICEU_CDS,MeanAverageOverPrevious12Months,EUR,22256211.29,0.00,29276556.56,0.00
