ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.1.1,23.1.2,23.2.1,23.2.2,23.2.3,23.2.4,
2017-12-31,Default fund,LME,ETD Forward,USD,1236979,109038971779.41,150877705889.96,Commodity,Forward,"AAD, AHD, CAD, COD, MOD, NAD, NID, PBD, SND, ZSD",
2017-12-31,Default fund,LME,ETD Option,USD,60213,84859245.56,676622228.24,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2017-12-31,Default fund,LME,ETD Option,EUR,0,0.00,0.00,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2017-12-31,Default fund,LME,ETD Forward,EUR,2891,265108346.26,2090837308.01,Commodity,Forward,"AAE, AHE, CAE, NAE, NIE, PBE, SNE, ZSE",
2017-12-31,Default fund,LME,ETD Forward,JPY,1421,111339291.38,908256657.35,Commodity,Forward,"AHY, CAY, NIY, PBY, SNY, ZSY",
2017-12-31,Default fund,LME,ETD TAPO,USD,812,1114979.63,154853815.05,Commodity,TAPO,"AHD, CAD, NID, PBD, ZSD",
2017-12-31,Default fund,LME,ETD Swap,USD,623,76348938.14,54636315.75,Commodity,Swap,"OAD, OCD, OND, OPD, OSD, OZD",
2017-12-31,Default fund,LME,ETD Forward,GBP,71,7609975.82,122064245.20,Commodity,Forward,"AHS, CAS, NAS, NIS, PBS, SNS, ZSS",
2017-12-31,Default fund,LME,ETD Future,USD,4067,14466898.73,12940420.00,Commodity,Future,"SCD, SRD",
2017-12-31,Default fund,LPM,ETD Future,USD,10368,1265584240.20,3367519420.00,Commodity,Future,"AUD,AGD",
