ReportDate,ReportLevel,ReportLevelIdentifier,Description,18_2_1,18_2_2,18_2_3,18_3_1,18_3_2,18_3_3
2017-12-29,DefaultFund,ICEU_F&O,AverageInQuarter,,30.13%,51.12%,,33.22%,53.31%
2017-12-29,DefaultFund,ICEU_F&O,PeakInQuarter,,31.42%,52.05%,,35.37%,55.30%
2017-12-29,DefaultFund,ICEU_CDS,AverageInQuarter,51.50%,,,43.44%,,
2017-12-29,DefaultFund,ICEU_CDS,PeakInQuarter,51.74%,,,46.92%,,
