ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2017-12-29,CCP,ICEU,Percentage_EUR,23.24%,1.58%
2017-12-29,CCP,ICEU,Percentage_GBP,20.21%,5.44%
2017-12-29,CCP,ICEU,Percentage_USD,35.20%,14.33%

