ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7_1_2,7_1_3,7_1_4,7_1_5,7_1_6,7_1_7,7_1_8,7_1_9
2018-03-29,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,6561071446.01,25210768.65,1000000000.00,0.00,5125026326.16,0.00
2018-03-29,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,4100926325.46,18404249.70,1000000000.00,0.00,278007039.00,0.00
2018-03-29,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,3696300000.00,5538925.05,1000000000.00,0.00,382351285.04,0.00


