ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2018-03-29,CCP,ICEU,Percentage_EUR,28.24%,0.26%
2018-03-29,CCP,ICEU,Percentage_GBP,28.69%,0.00%
2018-03-29,CCP,ICEU,Percentage_USD,26.08%,16.73%

