ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_3_6,4_3_7,4_3_8,4_3_9,4_3_10,4_3_11,4_3_12,4_3_13,4_3_14,4_3_15
2018-03-29,Default Fund,ICEU_F&O,PreHaircut,USD,,0.00,2530037498.10,2252036.82,0.00,353097689.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2885387224.81
2018-03-29,Default Fund,ICEU_F&O,PostHaircut,USD,,0.00,2530037498.10,2252036.82,0.00,342922587.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2875212122.58
2018-03-29,Default Fund,ICEU_CDS,PreHaircut,EUR,,0.00,904458398.12,644741.87,0.00,58863974.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,963967114.21
2018-03-29,Default Fund,ICEU_CDS,PostHaircut,EUR,,0.00,892526644.90,634123.69,0.00,57274837.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,950435606.33
