ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2018-03-29,DefaultFund,ICEU_F&O,PeakDayAmountInPast12Months,USD,2123999121.92,90795867.71,2432085202.93,118392893.12
2018-03-29,DefaultFund,ICEU_F&O,MeanAverageOverPrevious12Months,USD,1477788338.66,24543905.62,1706944245.71,30679882.03
2018-03-29,DefaultFund,ICEU_CDS,PeakDayAmountInPast12Months,EUR,122306464.61,0.00,132223397.00,0.00
2018-03-29,DefaultFund,ICEU_CDS,MeanAverageOverPrevious12Months,EUR,21109807.80,0.00,27774900.96,0.00
