ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2018-03-29,Default Fund,ICEU_F&O,HouseIM_PreHaircut,USD,0.00,113064855.33,2372539071.33,942615.15,452944761.87,3439614583.12,81300548.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6460406434.90
2018-03-29,Default Fund,ICEU_F&O,HouseIM_PostHaircut,USD,0.00,107976936.84,2257396711.62,920221.28,430463391.09,3303080327.78,79081490.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6178919079.41
2018-03-29,Default Fund,ICEU_F&O,ClientIM_PreHaircut,USD,2484242049.48,1938563763.81,9468610793.52,28712946.01,1091030145.49,17302303980.83,139300091.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32452763770.87
2018-03-29,Default Fund,ICEU_F&O,ClientIM_PostHaircut,USD,2310345106.02,1851328394.44,9224555062.11,27281111.77,1033425829.39,16777617176.45,135483988.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31360036668.42
2018-03-29,Default Fund,ICEU_F&O,TotalIM_PreHaircut,USD,2484242049.48,2051628619.14,11841149864.85,29655561.16,1543974907.36,20741918563.95,220600639.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38913170205.77
2018-03-29,Default Fund,ICEU_F&O,TotalIM_PostHaircut,USD,2310345106.02,1959305331.27,11481951773.74,28201333.05,1463889220.48,20080697504.23,214565479.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37538955747.83
2018-03-29,Default Fund,ICEU_CDS,HouseIM_PreHaircut,EUR,0.00,492745739.47,1874106506.70,1267376.89,246944169.45,2442891155.38,85705533.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5143660481.18
2018-03-29,Default Fund,ICEU_CDS,HouseIM_PostHaircut,EUR,0.00,492745739.47,1812324247.80,1226470.33,236115649.25,2377288685.13,82926985.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5002627777.23
2018-03-29,Default Fund,ICEU_CDS,ClientIM_PreHaircut,EUR,2249824.25,385003847.72,452271166.54,1137798.37,131663027.71,393786122.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1366111786.66
2018-03-29,Default Fund,ICEU_CDS,ClientIM_PostHaircut,EUR,2126083.92,385003847.72,445742748.30,1130185.71,124377039.99,379357233.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1337737139.38
2018-03-29,Default Fund,ICEU_CDS,TotalIM_PreHaircut,EUR,2249824.25,877749587.18,2326377673.25,2405175.26,378607197.15,2836677277.45,85705533.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6509772267.84
2018-03-29,Default Fund,ICEU_CDS,TotalIM_PostHaircut,EUR,2126083.92,877749587.18,2258066996.09,2356656.05,360492689.24,2756645918.87,82926985.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6340364916.61
