ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
2017-03-31,CCP,LMEC_1,Percentage_USD,89.11%,3.90%
2017-03-31,CCP,LMEC_1,Percentage_EUR,3.74%,0.00%
2017-03-31,CCP,LMEC_1,Percentage_GBP,6.83%,0.00%
2017-03-31,CCP,LMEC_1,Percentage_JPY,0.32%,0.00%
2017-03-31,CCP,LMEC_1,Percentage_CNH,0.00%,0.00%
