ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2017-03-31,DefaultFund,ICNL_F&O,PeakDayAmountInPast12Months,EUR,15604102.00,0.00,15604102.00,0.00
2017-03-31,DefaultFund,ICNL_F&O,MeanAverageOverPrevious12Months,EUR,3127820.00,0.00,3127820.00,0.00
