ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2017-03-31,CCP,LMEC_1,AverageInQuarter,,44.86%,65.32%,,38.36%,59.36%,,,
2017-03-31,CCP,LMEC_1,PeakInQuarter,,45.49%,65.99%,,39.73%,61.55%,,,
