ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2017-03-31,CCP,ICEU,Percentage_EUR,12.56%,14.67%
2017-03-31,CCP,ICEU,Percentage_GBP,19.31%,10.36%
2017-03-31,CCP,ICEU,Percentage_USD,35.35%,7.75%
